student_id,login_frequency,session_duration,forum_participation,assignment_access,time_gap_avg,inactivity_days,engagement_level
0,5.407807370360974,31.768993709608736,1.0418561938300206,3.454731878162937,1.0068229393982124,5.527347173539667,Moderately Engaged
1,1.2162352961919196,46.84477354674095,1.8404547769345316,3.92951469893719,3.4543748702591146,3.8645342197080788,Moderately Engaged
2,3.6733703652848906,21.349406157586078,3.823960512184803,0.9955242145960377,5.303403828627958,6.852695838941975,Moderately Engaged
3,5.927370195590623,40.98094106569562,3.862329727700826,11.642425706872604,1.8559274579593228,2.841097506596819,Highly Engaged
4,5.163978737040397,92.84566077906791,10.06046836807263,12.585613623217258,0.9170501439866465,3.5680934749631747,Highly Engaged
5,1.0515427434352693,40.454918718257446,4.349273676827823,3.3994868068170105,5.469561548550755,11.286443405046928,Moderately Engaged
6,3.0951080262715105,95.52565780215329,6.672398031192766,4.9234140383273965,2.0267611606629328,1.4947137864902356,Highly Engaged
7,9.631522916905254,53.30008092481866,7.819359370088261,5.130998095294522,0.3029560112170549,3.4691212278027392,Highly Engaged
8,2.2618115293971552,44.3217686156386,1.020363074421473,2.1824268986002884,6.5661862382373934,33.57800532636649,At-Risk
9,7.101931426815442,109.9484878636736,2.254976361218705,3.2132054645493344,1.509507794572965,4.20731076633326,Highly Engaged
10,2.1358808979600528,44.85417973237765,0.0,1.9560581579775151,5.796063225317889,1.497948613402933,Moderately Engaged
11,3.7349403860643924,34.558133302798815,4.202813595325085,6.480928397715115,3.302080607231391,1.6550622267516926,Highly Engaged
12,0.8797258234975459,57.964913176315285,5.9135378283173825,0.9415812963544777,2.262261378880226,4.04858248356674,Moderately Engaged
13,3.32315772592112,28.290214834292204,2.521963328823253,1.0710388645952773,3.5476091187902363,12.118168484600204,Moderately Engaged
14,4.123390080404002,59.54428979066288,3.624630222860241,10.13793855877124,1.3652526671966196,5.1384753938992285,Highly Engaged
15,0.0,13.35221479879343,0.0,1.0707560937290468,11.295563997439556,12.418056654889806,At-Risk
16,1.0262249517987208,21.254265919798968,0.0,0.0,3.3611159660517647,11.95448227397197,At-Risk
17,0.0,22.227644587096783,0.0,1.1080580863057294,16.64100198153445,29.885885536898787,At-Risk
18,7.050816619296306,47.66104628257123,3.9971824031958643,3.057512809883431,0.94141611792219,13.940821209724211,Moderately Engaged
19,5.2454175397744,54.87530105779487,4.283942574744127,2.9672269893044074,5.709154415125806,7.429691181919429,Moderately Engaged
20,6.192684369717184,71.55624812100176,12.047935708988266,8.379698694939272,0.7858027920628308,0.0,Highly Engaged
21,0.0,39.84092279065112,1.077255290081299,0.0,8.822779247309462,12.890992177545051,At-Risk
